,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.9073170731707317,0.9841269841269841,0.9441624365482233,378,0.8181818181818182,0.4153846153846154,0.5510204081632654,65,0.9006772009029346,0.9006772009029346,0.9006772009029346,443,0.862749445676275,0.6997557997557997,0.7475914223557443,443,0.8942385368856768,0.9006772009029346,0.8864779402840646,443,0.4153846153846154,0.8181818181818182,0.5510204081632654,xgboost,,0.911965811965812
0,0.9095354523227384,0.9841269841269841,0.9453621346886911,378,0.8235294117647058,0.4307692307692308,0.5656565656565656,65,0.9029345372460497,0.9029345372460497,0.9029345372460497,443,0.8665324320437221,0.7074481074481074,0.7555093501726284,443,0.8969160558525981,0.9029345372460497,0.8896491279458285,443,0.4307692307692308,0.8235294117647058,0.5656565656565656,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8384615384615385
0,0.9104477611940298,0.973404255319149,0.9408740359897172,376,0.7435897435897436,0.4461538461538462,0.5576923076923078,65,0.8956916099773242,0.8956916099773242,0.8956916099773241,441,0.8270187523918867,0.7097790507364976,0.7492831718410125,441,0.8858541758328538,0.8956916099773242,0.884396003474226,441,0.4461538461538462,0.7435897435897436,0.5576923076923078,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.01}",0.9097381342062193
0,0.9143576826196473,0.9654255319148937,0.9391979301423028,376,0.7045454545454546,0.47692307692307695,0.5688073394495413,65,0.8934240362811792,0.8934240362811792,0.8934240362811792,441,0.809451568582551,0.7211743044189853,0.7540026347959221,441,0.8834329778014557,0.8934240362811792,0.8846052126932564,441,0.47692307692307695,0.7045454545454546,0.5688073394495413,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.8558715220949263
0,0.9377049180327869,0.7606382978723404,0.8399412628487518,376,0.3382352941176471,0.7076923076923077,0.4577114427860697,65,0.7528344671201814,0.7528344671201814,0.7528344671201814,441,0.637970106075217,0.7341653027823241,0.6488263528174107,441,0.8493477172289682,0.7528344671201814,0.7836035342680845,441,0.7076923076923077,0.3382352941176471,0.4577114427860697,naive_bayes,{'nb__alpha': 0.75},0.7945171849427168
0,0.9111111111111111,0.9813829787234043,0.9449423815620998,376,0.8055555555555556,0.4461538461538462,0.5742574257425743,65,0.9024943310657596,0.9024943310657596,0.9024943310657596,441,0.8583333333333334,0.7137684124386252,0.7595999036523371,441,0.8955530360292264,0.9024943310657596,0.8903062769628499,441,0.4461538461538462,0.8055555555555556,0.5742574257425743,logistic_regression,"{'lr__C': 1438.44988828766, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.9292553191489362
0,0.9133663366336634,0.9813829787234043,0.9461538461538463,376,0.8108108108108109,0.46153846153846156,0.5882352941176471,65,0.9047619047619048,0.9047619047619048,0.9047619047619048,441,0.8620885737222371,0.7214607201309329,0.7671945701357468,441,0.8982504428048982,0.9047619047619048,0.89339941104647,441,0.46153846153846156,0.8108108108108109,0.5882352941176471,xgboost,,0.9218903436988544
0,0.9195979899497487,0.973404255319149,0.9457364341085271,376,0.7674418604651163,0.5076923076923077,0.611111111111111,65,0.9047619047619048,0.9047619047619048,0.9047619047619048,441,0.8435199252074326,0.7405482815057283,0.7784237726098191,441,0.8971713495495195,0.9047619047619048,0.8964152413764817,441,0.5076923076923077,0.7674418604651163,0.611111111111111,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.9002454991816694
0,0.8905109489051095,0.9786096256684492,0.932484076433121,374,0.7241379310344828,0.3181818181818182,0.4421052631578947,66,0.8795454545454545,0.8795454545454545,0.8795454545454546,440,0.8073244399697961,0.6483957219251337,0.6872946697955079,440,0.8655549962245156,0.8795454545454545,0.8589272544418372,440,0.3181818181818182,0.7241379310344828,0.4421052631578947,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.001}",0.8375060768108896
0,0.9,0.9385026737967914,0.918848167539267,374,0.54,0.4090909090909091,0.4655172413793104,66,0.8590909090909091,0.8590909090909091,0.8590909090909091,440,0.72,0.6737967914438503,0.6921827044592888,440,0.846,0.8590909090909091,0.8508485286152735,440,0.4090909090909091,0.54,0.4655172413793104,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': 7, 'dt__min_samples_split': 70}",0.7980270620644953
