,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.9309664694280078,0.9147286821705426,0.9477911646586346,249.0,,,,,0.38596491228070173,0.4583333333333333,0.3333333333333333,33.0,,,,,0.8030911524887429,0.1856060606060606,0.15000000000000002,0.38596491228070173,0.6584656908543547,0.686531007751938,0.6405622489959839,282,0.875886524822695,0.875886524822695,0.875886524822695,282,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.001}",0.4583333333333333,0.3333333333333333,0.8671896914639613,0.8613207158172522,0.875886524822695,282
0,0.9354207436399217,0.9122137404580153,0.9598393574297188,249.0,,,,,0.37735849056603776,0.5,0.30303030303030304,33.0,,,,,0.7311062431544358,0.1893939393939394,0.30000000000000004,0.37735849056603776,0.6563896171029797,0.7061068702290076,0.6314348302300109,282,0.8829787234042553,0.8829787234042553,0.8829787234042553,282,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.5,0.30303030303030304,0.8701155863653183,0.8639759623193114,0.8829787234042553,282
0,0.906054279749478,0.9434782608695652,0.8714859437751004,249.0,,,,,0.47058823529411764,0.38461538461538464,0.6060606060606061,33.0,,,,,0.7967628088110017,0.24242424242424243,0.47500000000000003,0.47058823529411764,0.6883212575217978,0.664046822742475,0.7387732749178533,282,0.8404255319148938,0.8404255319148937,0.8404255319148937,282,naive_bayes,{'nb__alpha': 0.75},0.38461538461538464,0.6060606060606061,0.8550954873132125,0.8780794136483314,0.8404255319148937,282
0,0.9358178053830228,0.9658119658119658,0.9076305220883534,249.0,,,,,0.617283950617284,0.5208333333333334,0.7575757575757576,33.0,,,,,0.9066569307533163,0.4962121212121212,0.2,0.617283950617284,0.7765508780001534,0.7433226495726496,0.8326031398320555,282,0.8900709219858156,0.8900709219858156,0.8900709219858156,282,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5208333333333334,0.7575757575757576,0.8985425670593726,0.9137399981814875,0.8900709219858156,282
0,0.9338677354709418,0.932,0.9357429718875502,249.0,,,,,0.49230769230769234,0.5,0.48484848484848486,33.0,,,,,0.8654009979311185,0.30303030303030304,0.30000000000000004,0.49230769230769234,0.713087713889317,0.716,0.7102957283680176,282,0.8829787234042553,0.8829787234042553,0.8829787234042553,282,xgboost,,0.5,0.48484848484848486,0.8821958155263062,0.8814468085106384,0.8829787234042553,282
0,0.9471624266144814,0.9236641221374046,0.9718875502008032,249.0,,,,,0.490566037735849,0.65,0.3939393939393939,33.0,,,,,0.8584641596689789,0.3143939393939394,0.5,0.490566037735849,0.7188642321751652,0.7868320610687023,0.6829134720700986,282,0.9042553191489362,0.9042553191489362,0.9042553191489362,282,adaboost,,0.65,0.3939393939393939,0.8937309342988967,0.8916395972064316,0.9042553191489362,282
0,0.9205702647657841,0.9338842975206612,0.9076305220883534,249.0,,,,,0.4657534246575342,0.425,0.5151515151515151,33.0,,,,,0.8175124741389802,0.2537878787878788,0.15000000000000002,0.4657534246575342,0.6931618447116592,0.6794421487603306,0.7113910186199343,282,0.8617021276595744,0.8617021276595744,0.8617021276595744,282,gradientboost,,0.425,0.5151515151515151,0.867347017519074,0.8743340073852647,0.8617021276595744,282
0,0.8917748917748919,0.9671361502347418,0.8273092369477911,249.0,,,,,0.5098039215686274,0.37681159420289856,0.7878787878787878,33.0,,,,,0.8803699647073141,0.29924242424242425,0.17500000000000002,0.5098039215686274,0.7007894066717597,0.6719738722188202,0.8075940124132894,282,0.8226950354609928,0.8226950354609929,0.8226950354609929,282,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.37681159420289856,0.7878787878787878,0.8470761612188397,0.8980556170820793,0.8226950354609929,282
0,0.9516441005802708,0.935361216730038,0.968503937007874,254.0,,,,,0.4444444444444445,0.5555555555555556,0.37037037037037035,27.0,,,,,0.8238553514144065,0.25925925925925924,0.1,0.4444444444444445,0.6980442725123577,0.7454583861427968,0.6694371536891222,281,0.911032028469751,0.9110320284697508,0.9110320284697508,281,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.001}",0.5555555555555556,0.37037037037037035,0.9029096140476469,0.8988674343396073,0.9110320284697508,281
0,0.9555125725338492,0.9391634980988594,0.9724409448818898,254.0,,,,,0.4888888888888889,0.6111111111111112,0.4074074074074074,27.0,,,,,0.8091280256634588,0.3101851851851852,0.5750000000000001,0.4888888888888889,0.722200730711369,0.7751373046049852,0.6899241761446486,281,0.9181494661921709,0.9181494661921709,0.9181494661921709,281,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.6111111111111112,0.4074074074074074,0.9106768449238353,0.9076424502388266,0.9181494661921709,281
