,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_profit_ration,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.9318181818181819,0.8723404255319149,1.0,41.0,,,,,0.0,0.0,0.0,6.0,,,,,0.7560975609756098,0,0.0,0.025,0.0,0.46590909090909094,0.43617021276595747,0.5,47,0.8723404255319149,0.8723404255319149,0.8723404255319149,47,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.8128626692456481,0.7609778180172024,0.8723404255319149,47
0,0.9135802469135802,0.925,0.9024390243902439,41.0,,,,,0.4615384615384615,0.42857142857142855,0.5,6.0,,,,,0.871951219512195,12,0.25,0.15000000000000002,0.4615384615384615,0.6875593542260209,0.6767857142857143,0.7012195121951219,47,0.8510638297872339,0.851063829787234,0.851063829787234,47,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.42857142857142855,0.5,0.8558727849507991,0.8616261398176293,0.851063829787234,47
0,0.9397590361445782,0.9285714285714286,0.9512195121951219,41.0,,,,,0.5454545454545454,0.6,0.5,6.0,,,,,0.8170731707317073,18,0.375,0.9750000000000001,0.5454545454545454,0.7426067907995618,0.7642857142857142,0.725609756097561,47,0.8936170212765957,0.8936170212765957,0.8936170212765957,47,naive_bayes,{'nb__alpha': 0.25},0.6,0.5,0.8894222926522337,0.8866261398176292,0.8936170212765957,47
0,0.9534883720930233,0.9111111111111111,1.0,41.0,,,,,0.5,1.0,0.3333333333333333,6.0,,,,,0.8211382113821138,16,0.3333333333333333,0.42500000000000004,0.5,0.7267441860465116,0.9555555555555555,0.6666666666666666,47,0.9148936170212766,0.9148936170212766,0.9148936170212766,47,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",1.0,0.3333333333333333,0.8955962394854032,0.9224586288416076,0.9148936170212766,47
0,0.8800000000000001,0.9705882352941176,0.8048780487804879,41.0,,,,,0.5263157894736842,0.38461538461538464,0.8333333333333334,6.0,,,,,0.8577235772357723,16,0.3333333333333333,0.1,0.5263157894736842,0.7031578947368422,0.6776018099547512,0.8191056910569106,47,0.8085106382978723,0.8085106382978723,0.8085106382978723,47,xgboost,,0.38461538461538464,0.8333333333333334,0.83484882418813,0.8957831905266198,0.8085106382978723,47
0,0.9,0.9230769230769231,0.8780487804878049,41.0,,,,,0.42857142857142855,0.375,0.5,6.0,,,,,0.7276422764227642,9,0.1875,0.47500000000000003,0.42857142857142855,0.6642857142857143,0.6490384615384616,0.6890243902439024,47,0.8297872340425532,0.8297872340425532,0.8297872340425532,47,adaboost,,0.375,0.5,0.8398176291793312,0.8531096563011457,0.8297872340425532,47
0,0.9523809523809524,0.9302325581395349,0.975609756097561,41.0,,,,,0.6,0.75,0.5,6.0,,,,,0.8048780487804877,21,0.4375,0.225,0.6,0.7761904761904762,0.8401162790697674,0.7378048780487805,47,0.9148936170212766,0.9148936170212766,0.9148936170212766,47,gradientboost,,0.75,0.5,0.9073961499493416,0.9072241464621473,0.9148936170212766,47
0,0.963855421686747,0.9523809523809523,0.975609756097561,41.0,,,,,0.7272727272727272,0.8,0.6666666666666666,6.0,,,,,0.8699186991869918,29,0.6041666666666666,0.4,0.7272727272727272,0.845564074479737,0.8761904761904762,0.8211382113821137,47,0.9361702127659575,0.9361702127659575,0.9361702127659575,47,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8,0.6666666666666666,0.9336533755913403,0.9329280648429584,0.9361702127659575,47
0,0.9375,0.8823529411764706,1.0,45.0,,,,,0.0,0.0,0.0,6.0,,,,,0.8814814814814815,0,0.0,0.025,0.0,0.46875,0.4411764705882353,0.5,51,0.8823529411764706,0.8823529411764706,0.8823529411764706,51,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.8272058823529411,0.7785467128027681,0.8823529411764706,51
0,0.9565217391304347,0.9361702127659575,0.9777777777777777,45.0,,,,,0.6,0.75,0.5,6.0,,,,,0.7611111111111111,21,0.4375,0.17500000000000002,0.6,0.7782608695652173,0.8430851063829787,0.7388888888888889,51,0.9215686274509803,0.9215686274509803,0.9215686274509803,51,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.75,0.5,0.9145780051150895,0.9142678347934918,0.9215686274509803,51
